#	English - EN	Spanish - ES	#Korean - KO	Chinese Simplified - ZH	#Chinese Traditional - ZH	#Japanese - JA	#Russian - RU	French - FR
#VERSION								
#								
LAUNCH_NOT_DETECTED	Launcher not detected...	Launcher no detectado...	버전 확인중...	新版检查中...	檢查版本...	バージョンを確認しています…	Лаунчер не обнаружен...	Vérification de la version...
TROPHIES_HINT_16	Living all the different colors!	¡Viviendo todos los colores diferentes!		全都住在不同颜色里！		人それぞれ色がある。	Живите всеми цветами радуги!	Vivre en couleurs !
TROPHIES_NAME_17	Turning Tables	Invirtiendo los Roles.		掀桌		大番狂わせ	Поворачивая Столы	Tables Tournantes
TROPHIES_DESCRIPTION_17	You received a Shine in the last 5 turns event!\nThat was unexpected, the other players must be hating you right now!	Obtuviste un Sol en el evento de Ultimos 5 turnos!\n¡Eso fue inesperado, los demas te deben estar odiando ahora mismo!		你在最后五回合事件中获得一个太阳！\n这还真是意料之外，其他玩家现在肯定恨死你了！		ラスト5ターンイベントでシャインを手に入れた！\nこれは予想外！また他プレイヤーの恨みも手に入れた！	Вы получили Шайни за событие 5 последних ходов!\nЭто было неожиданно, наверняка другие игроки теперь тебя ненавидят!	Vous avez reçu un Soleil pendant l'événement des 5 derniers tours. C'était inattendu, les autres joueurs doivent vous détester désormais !
TROPHIES_HINT_17	I bet you weren't expecting to get that on the last 5 turns!	Apuesto a que no esperabas conseguir eso en los últimos 5 turnos.		我觉得你自己都没想到会在最后五回合拿到那个吧！		ラスト5ターンで大逆転もあるかも…？	Держу пари, ты не ожидал получить это в последние 5 ходов!	Je parie que vous ne vous attendiez pas à recevoir ça pendant les 5 derniers tours !
TROPHIES_NAME_18	Blue Savior	Salvador Azul		蓝色救星		青の救世主	Синий Спаситель	Bleu Sauveur
TROPHIES_DESCRIPTION_18	You landed on a Blue Space when all the Blue Spaces were Red Spaces!\nAt least you gained something while this mess was happening.	¡Aterrizaste en una casilla azul cuando todas estas eran rojas!\nAl menos obtuviste algo mientras ocurría todo este lío.		你在所有蓝色格子都变成红色格子的时候停在了蓝色格子上！\n至少你在这一团糟的时候获得了些什么。		プラスマスが全部マイナスマスの時にプラスマスに止まった。\nこの混乱の中で少なくともあなたにはゲットしたものがあると思う。	Вы приземлились на Синюю Клетку, в то время как все Синие Клетки поменялись на Красные!\nТы хоть что-то получил в этом беспорядке.	Vous avez atterri sur une case Bleue quand toutes les cases bleues étaient des cases rouges ! Au moins vous avez gagné quelque chose pendant tout ce bazar !
TROPHIES_HINT_18	Landing on a good one while there's so many bad ones.	Aterrizando en uno bueno mientras hay tantos malos.		在到处都很糟糕的时候停在了一个好的位置。		悪いマスがたくさんある中で、良いマスに止まろう。	Приземляясь на хорошую, в то время как вокруг так много плохих.	Tomber sur la bonne quand il y a tant de mauvaises.
TROPHIES_NAME_19	Wrong Number	Número Equivocado		打错号码		間違い電話	Не тот Номер	Mauvais Numéro
TROPHIES_DESCRIPTION_19	You used the Cellphone and said no.\nCalling the wrong number, happens from time to time.	Usaste el Teléfono y dijiste que no.\nLlamar al número equivocado, sucede de vez en cuando.		你使用了手机但没完全使用。\n打错号码了，这是天天发生的事情。		携帯電話を使ってアイテムの購入を拒否した。\nまったく、かけ間違えに気を付けてくれ。	Вы использовали Телефон и сказали нет.\nЗвонок не на тот номер, случается время от времени.	Vous avez utilisé le Téléphone et dit "Non". Appeler le mauvais numéro, ça arrive de temps en temps.
TROPHIES_HINT_19	Woops, that's not the right number, my bad.	Ups, este no era el número correcto, perdón.		哎呀，这不是正确的号码，我的错。		すみません、かけ間違えでした。	Упс, это не тот номер, моя вина.	Oups, ce n'est pas le bon numéro, désolé.
TROPHIES_NAME_20	Wrong Galaxy	Galaxia Equivocada		打错星系		銀河間違い	Не та Галактика	Mauvaise Galaxie
TROPHIES_DESCRIPTION_20	You used the Blackhole and said no.\nYeah there's a bunch of galaxies to call, it's only natural you'd get confused.	 Usaste el Agujero Negro y dijiste que no.\nSí, hay un montón de galaxias para llamar, es natural que te confundas.		你使用了黑洞但没完全使用。\n是啊，有太多星系了，搞错也很正常嘛。		ブラックホールを使ったのに何もしなかった。\nそりゃ銀河は山ほどあるし、間違えるのも仕方がないよ。	Вы использовали Чёрную дыру и сказали нет.\nДа, существует куча галактик, которым можно позвонить, это естественно, что вы в замешательстве.	Vous avez utilisé le Trou Noir et dit "Non". Ouais, il y a tant de galaxies qu'on peut appeler, c'est normal de se tromper.
TROPHIES_HINT_20	Woops, that's not the right galaxy, my bad.	Ups, esta no era la galaxia correcta, perdón.		哎呀，这不是正确的星系，我的错。		すみません、間違い銀河でした。	Упс, это не та галактика, моя вина.	Oops, ce n'est pas la bonne galaxie, désolé.
TROPHIES_NAME_21	Double Trouble	Doble Dificultad		双喜临门		ダブルトラブル	Двойная Проблема	Double Chance
TROPHIES_DESCRIPTION_21	You rolled two identical numbers with Double Dice!\nMore rolling for me!	¡Obtuviste dos números idénticos con Doble Dado!\n¡Más tiradas para mí!		你用双骰子掷出了一对一样的数字！\n我还要更多！		ダブルダイスでゾロ目を出した！\nもう一個はないの？	Вы выбили два одинаковых числа с Двойной Кости!\nБольше бросков для меня!	Vous avez obtenu deux nombres identiques avec un Dé Double ! Vous êtes un maître de la synchronicité !
TROPHIES_HINT_21	Double the numbers, double the fun.	 Dobla los números, dobla la diversión.		双倍的数字，双倍的惊喜。		二倍の数字で、二倍楽しい	Удваивай числа, удваивай веселье.	Doublez les nombres, doubles le fun.
TROPHIES_NAME_22	Sonic Speed	Velocidad Sónica.		动如脱兔		ソニックスピード	Со скоростью Звука 	Vitesse Sonic
TROPHIES_DESCRIPTION_22	You rolled 25 or more with Triple Dice!\nJust casually going for a walk around the Board, no big deal.	¡Has sacado 25 o más con un Triple Dado!\nSimplemente un paseo por todo el tablero, nada nuevo.		你用三骰子累计掷出25点或以上！\n现在随随便便绕图一周也不是什么问题。		トリプルダイスで25以上の出目を出した！\nボードを歩きまわるだけで大したことはないけど。	Вы выбили 25 или больше с Тройной Кости!\nПросто гуляю себе по Доске, ничего такого.	Vous avez obtenu 25 ou plus avec un Dé Triple ! Je vais juste faire une petite promenade sur le plateau, rien de fou.
TROPHIES_HINT_22	Hey slow down a little bit!	¡Hey, baja un poco la velocidad!		喂，你超速了！		もうちょっと速度落とせって！	Эй, притормози немного!	Hey, ralenti un peu !
TROPHIES_NAME_23	Snail Pace	Paso de Caracol.		乌龟的速度		カタツムリレベルのスピード	Улиточная Скорость 	Vitesse Tortue
TROPHIES_DESCRIPTION_23	You rolled 10 or less with a Triple Dice.\nI'm gonna reach the Shine, I swear...	Obtuviste un resultado de 10 o menos con un Dado Triple.\nVoy a alcanzar el Sol, lo juro...		你用三骰子累计掷出10点或以下！\n我会到达太阳的，我保证……		トリプルダイスで10以下の出目を出した\nシャインまでの道のりは遠い...	Вы выбили 10 или меньше с Тройной Кости.\nЯ обязательно доберусь до Шайни, клянусь...	Vous avez obtenu 10 ou moins avec un Dé Triple. Je vais attendre le Soleil, je le jure...
TROPHIES_HINT_23	I would've used a regular one if I knew this was gonna happen...	Habría usado uno normal si hubiera sabido que esto iba a suceder...		若吾早知如此，就用个普通的了……		これなら普通の方を使えば良かった…	Я бы использовал обычный, если бы знал, что это произойдёт...	J'aurais utilisé un dé normal si j'avais su que ça allait se passer...
TROPHIES_NAME_24	Triple Threat	Triple Amenaza.		红色有角三倍速		トリプルの脅威	Тройная Угроза	Triple Chance
TROPHIES_DESCRIPTION_24	You rolled three identical numbers with Triple Dice!\nI can't stop rolling!	¡Obtuviste tres números idénticos con el Triple Dado!\n¡No puedo parar de tirar los dados!		你用三骰子掷出了三个一样的数字！\n我停不下来了！		トリプルダイスでゾロ目を出した！\nバカなっ バカなっ……！ なんでこんなことがっ....！	Вы выбили три одинаковых числа с Тройной Кости!\nЯ не могу перестать бросать!	Vous avez obtenu trois nombres identiques avec un Dé Triple ! Je ne peux plus m'arrêter !
TROPHIES_HINT_24	Oh baby, a triple!	¡Oh, sí! ¡Un triple!		你看，是三倍！		圧勝 3倍づけっ…………！	Оу да, детка, тройня!	Oh chéri, un triple !
TROPHIES_NAME_25	Broken Mirror	Espejo Roto.		破碎的镜子		壊れたミラー	Сломанное Зеркало 	Miroir Brisé
TROPHIES_DESCRIPTION_25	You used the Mirror when you didn't have enough Coins.\nNow both you and the Mirror are broke, congratulations!	Usaste el Espejo cuando no tenías suficientes monedas.\nAhora tanto tú como el Espejo están rotos, ¡felicidades!		你在身上没有足够金币的时候使用了镜子。\n现在你和镜子都破产了，恭喜！		必要コインが不足した状態でミラーを使った。\nこれでミラーも君もおしまいだ！	Вы использовали Зеркало когда у вас не хватало денег на Шайни.\nТеперь и вы и Зеркало разбиты, поздравляю!	Vous avez utilisé le Miroir quand vous n'aviez pas assez de Pièces. Sept ans d'infortune, félicitations !
TROPHIES_HINT_25	Now two things are broke by such use.	Ahora dos cosas están rotas debido a ese uso.		这么浪费，现在两样都坏掉了。		間違った使い方をしちゃった...もうだめだ、おしまいだぁ...	Теперь обе вещи сломались от такого использования..	Vous êtes maudits désormais.
TROPHIES_NAME_84	A Sticky Situation	Una Situación Pegajosa				厄介な状況		
TROPHIES_DESCRIPTION_84	Steal a Sticky Hand by using a Super Sticky Hand.\nI mean you're really sticky now if that's what you wanted.	Roba una Mano Pegajosa usando una Súper Mano Pegajosa.\nAhora eres verdaderamente pegajoso si es lo que querías.				スーパー粘着ハンドを使って粘着ハンドを盗んだ。\nあなたがそれを望んでいるのなら、本当に粘着が好きなんだと予測できる。		
TROPHIES_HINT_84	Give me a hand! Or at least a sticky one...	¡Échame una mano! O al menos una pegajosa...				手を貸してくれ！あるいは少なくとも粘着性のあるもの...		
TROPHIES_NAME_26	Free Night	Noche Gratis		零元购之夜		ただの夜	Бесплатная Ночь	Nuit Gratuite
TROPHIES_DESCRIPTION_26	You received a Night Shine for 0 Coins in the Island Board!\nThat was a free trial, next time you won't be so lucky.	¡Recibiste un Sol Nocturno por 0 monedas en el tablero de la Isla!\nEso fue una prueba gratuita, la próxima vez no tendrás tanta suerte.		你在地图耀西岛的晚上以0金币购买了一个太阳！\n这次是免费尝试，下次你就不会这么走运了。		アイランドボードで0コインでナイトシャインを手に入れた！\nだけど、これは試供品だから、次はこうはいかないからね。	Вы получили Шайни за 0 Монет на Острове!\n Это было лёгкое испытание, в следующий раз тебе так не повезёт.	Vous avez reçu un Soleil Nocturne pour 0 pièce sur le plateau Archipel ! C'était un essai gratuit, la prochaine fois vous ne serez pas aussi chanceux.
TROPHIES_HINT_26	This one is on the house.	Esta te la regalo.		这个是白给的。	這個給不給無所謂	こいつは俺からの奢りだ		Celui-là, c'est cadeau !
TROPHIES_NAME_27	Expensive Night	Noche Costosa.		敲竹杠之夜	昂貴的夜晚	高級な夜	Дорогая Ночь	Nuit Onéreuse
TROPHIES_DESCRIPTION_27	You bought a Night Shine for 40 Coins in the Island Board.\nIt'd be best if you waited for a sale next time.	Compraste un Sol Nocturno por 40 Monedas en el tablero Isla.\nSerá bueno que esperes las ofertas para la próxima.		你在地图耀西岛的晚上以40金币购买了一个太阳！\n下次最好还是等打折了再来吧。		アイランドボードで40コインでナイトシャインを手に入れた。\n正直、セールを待つよりさっさと買った方がいい。	Вы купили Шайни за 40 Монет на Острове!\nБыло бы гораздо лучше, если бы ты дождался распродажи.	Vous avez obtenu un Soleil Nocture pour 40 Pièces sur le plateau Archipel. Ça serait bien d'attendre une promotion la prochaine fois.
TROPHIES_HINT_27	Gimme full price! I ain't waiting for a hot sale.	¡Dame el precio completo! No esperaré a una gran oferta.		我要全价！我并没有在等大甩卖。		セールなんていらない！普通の値段で買わせてくれ！	Дайте мне это за полную цену! Я не буду ждать горячей распродажи.	Je paie plein pot, pas le temps d'attendre les soldes.
TROPHIES_NAME_28	Night Shift	Turno Nocturno		夜班		勤務時間外	Ночная Смена	Équipe de Nuit
TROPHIES_DESCRIPTION_28	You used the Cellphone when it was night.\nSorry but the shop doesn't have night shifts.\nIt'd be best if you actually went during the day, thank you.	Usaste el teléfono cuando era de noche.\nLo siento, pero la tienda no tiene turnos nocturnos.\nSería mejor que vinieras durante el día, gracias.		你在晚上使用了手机。\n抱歉，商店晚上不营业。\n如果你白天来就好了，谢谢。		夜に携帯電話を使用した。\n申し訳ございませんが、夜は営業しておりません。\nまた営業時間にお掛けください。	Вы использовали Телефон во время ночи.\nИзвините, но магазин не работает в ночную смену.\nВам лучше бы зайти к нам днем, спасибо.	Vous avez utilisé le Téléphone la nuit. Désolé mais la boutique n'a pas d'équipe de nuit. Ça serait mieux de venur en journée, merci.
TROPHIES_HINT_28	Pay attention to the customer support schedule.	Presta atención al horario de atención al cliente.		请注意顾客服务的日程安排。		カスタマーサポートの営業時間にお気を付けください。	Обращай внимание на расписание обслуживания клиентов.	Faites attention aux horaires.
TROPHIES_NAME_97	Purple Friday	Viernes Morado				パープルフライデー		
TROPHIES_DESCRIPTION_97	Buy a Poison when the Shop Is Free in the Baba Is Board Board.\nYou don't seem like the kind of person to know how sales work...	Compra un Veneno cuando la Tienda Sea Gratis en el tablero de Baba Es Tablero.\nParece que no sabes cómo funcionan las rebajas...				Baba is BoardでShop is Freeの状態で毒を買った。\n買い物下手すぎ...		
TROPHIES_HINT_97	You had all of these things free... and you chose THAT!?	Tienes todas estas cosas gratis... ¿¡y decides comprar ESO?!				これだけのものが無料で手に入れられるのに...あれを買ったのか！？		
TROPHIES_NAME_29	Gotta Avoid 'Em All	¡Evítalos a Todos! 		我没有抓到		ポケモン、ゲットしなかったぜ！	Должен Избежать Их Всех!	Évitez les tous
TROPHIES_DESCRIPTION_29	You won without catching a Pokemon in the Pallet Town Board!\nI thought your dream was to become a Pokemon trainer... where's your Pokemon then?	¡Ganaste sin atrapar un Pokémon en el tablero de Pueblo Paleta!\nPensé que tu sueño era convertirte en un entrenador Pokémon... ¿dónde está tu Pokémon entonces?		你在真新镇地图没有抓精灵并获胜！\n我还以为你的梦想是成为精灵训练家……但是你的精灵呢？		パレットタウンでポケモンを捕まえずに勝利した！\n君はポケモントレーナーになりたかったんじゃないのか...じゃあ君のポケモンはどこなんだ？	Вы выиграли не ловя Покемонов в Мире Покемонов!\nЯ думал, твоей мечтой было стать тренером Покемонов... где же тогда твои Покемоны?	Vous avez gagné sans attraper un seul Pokémon sur le plateau Bourg Palette ! Je pensais que vos rêves étaient de devenir le meilleur dresseur... où est ton Pokémon alors ?
TROPHIES_HINT_29	Not gotta catch 'em all!	¡No tienes que atraparlos a todos!		我没有抓到！		わざわざ捕まえる必要はないよ！	Не должен их всех поймать!	Libérez les tous !
TROPHIES_NAME_30	It's Not Very Effective	No Es Muy Eficaz	효과가 별로인 듯하다...	效果并不拔群		こうかは いまひとつの ようだ	Это Не Очень Эффективно	Ce n'est pas très efficace
TROPHIES_DESCRIPTION_30	You lost a Pokemon battle while having a favorable Pokemon in the Pallet Town Board.\nWell that's some tough luck right there. Maybe try a different Pokemon next time.	Perdiste una batalla Pokémon a pesar de tener un Pokémon favorable en el tablero de Pueblo Paleta.\nBueno, eso es mala suerte. Tal vez intenta con un Pokémon diferente la próxima vez.		你在真新镇地图使用克制对方的精灵但是输掉了战斗。\n看来你的运气不佳。下次换一只精灵试试吧。		パレットタウンで相性有利のポケモンに負けた。\n君はある意味運がいい、次は違うポケモンと戦おう。	Вы проиграли битву Покемонов, имея у себя преимущественно сильного Покемона в Мире Покемонов.\nНу и тяжелая удача. Может попробуешь другого Покемона в следующий раз. 	Vous avez perdu un combat Pokémon avec un type avantageux sur le plateau de Bourg Palette. Eh bien, si c'est pas de la malchance. Essaie un autre Pokémon la prochaine fois peut-être.
TROPHIES_HINT_30	Water vs. Fire should be an easy win... right?	Agua contra Fuego deberia ser una victoria fácil... ¿verdad?		水系对付火系应该轻松获胜的……对吧？		みずvsほのお なら楽勝のはず…なのに？	Вода против Огная должна быть лёгкой победой... так?	L'eau contre le feu devrait être une victoire facile... n'est-ce pas ?
TROPHIES_NAME_31	It's Super Effective!	¡Es Muy Eficaz!	효과가 굉장했다!	效果非常之佳		こうかは ばつぐんだ！		C'est très efficace !
TROPHIES_DESCRIPTION_31	You won a Pokemon battle while not having a favorable Pokemon in the Pallet Town Board!\nI didn't think a fire attack against a water type was gonna work out. But I'm not complaining!	¡Ganaste una batalla Pokémon sin tener un Pokémon favorable en el tablero de Pueblo Paleta!\nNo pensé que un ataque de fuego contra un tipo agua iba a funcionar, ¡pero no me quejo!		你在真新镇地图使用不利属性的精灵但是赢得了战斗！\n我不认为逆属性能够获胜。但我不会抱怨什么！		パレットタウンで相性不利のポケモンに勝った！\n何で炎が水に勝てるのかわからないけど...まぁいっか！		Vous avez gagné un combat Pokémon avec un type désavantageux sur le plateau de Bourg Palette ! Je ne pensais pas que ça allait marcher, mais je ne vais pas me plaindre !
TROPHIES_HINT_31	Fire vs. Water could never work out... right?	Fuego contra Agua no deberia funcionar... ¿verdad?		火系对付水系应该不可能赢得……对吧？		ほのおvsみず なんて絶対に成り立たない…よね?		Le feu contre l'eau, ça ne marcherait jamais... n'est-ce pas ?
TROPHIES_NAME_32	Evil Mirror	Espejo Maligno		邪恶的镜子		邪悪な鏡		Miroir Malveillant
TROPHIES_DESCRIPTION_32	You used the Mirror in Dark World in the Hyrule Board.\nDid you know you can't see your reflection in the dark?\nThen I wonder why you used this.	Usaste el Espejo en el Mundo Oscuro en el tablero de Hyrule./n¿Sabías que no puedes ver tu reflejo en la oscuridad?\nEntonces me pregunto por qué lo usaste.		你在地图海拉尔的黑暗世界使用了镜子。\n你知道你在黑暗中看不见镜像吗？\n那我就不明白你为什么用它了。		ハイラルでダークワールドの時にミラーを使用した。\n暗闇では鏡は使い物にならないこと知ってた？\n知っていたならなぜ使ったのかよくわからない。		Vous avez utilisé le Miroir dans le Monde des Ténèbres. Saviez-vous que vous ne pouvez pas voir votre reflet dans le noir ? Alors je me demande pourquoi vous avez fait ça.
TROPHIES_HINT_32	I wonder what my reflection looks like when it's dark.	Me pregunto cómo se ve mi reflejo cuando está oscuro.		我很好奇黑暗中镜像是什么样子的。		暗闇だと自分はどう鏡に映るのかな。		Je me demande à quoi ressemble mon reflet dans le noir.
TROPHIES_NAME_98	Friendly Ghost	Fantasmigo				友好的な幽霊		
TROPHIES_DESCRIPTION_98	You encountered Nega Ghost twice on the same turn.\nWell I hope you didn't have any Shines on you.	Te cruzaste con el Nega Fantasma dos veces en el mismo turno.\nEspero que no tuvieses ningún Sol.				同じターンの時に幽霊に2回遭遇した。\nシャインを持ってなければいいんだけど...		
TROPHIES_HINT_98	Double the ghost, double the fun.	La diversión y los fantasmas vienen por partida doble.				ゴーストの数が二倍になれば、楽しみも二倍になる。		
TROPHIES_NAME_83	FASF In Reds	FASF En Rojos				FASF In Red		
TROPHIES_DESCRIPTION_83	You saw the red state background in the FASF Board.\nReally ominous if I say so myself.	Has visto el fondo rojo en el tablero de la FASF.\nRealmente inquietante si me lo permites.				FASFのボードに赤い州の背景があった。\n自分で言うのもなんだけど、不吉過ぎない？		
TROPHIES_HINT_83	A certain fangame event is in red numbers.	Un cierto evento de fangames está en números rojos.				とあるファンゲームイベントでは赤い数字で表示されているよ。		
TROPHIES_NAME_33	Tie Your Tie	Ajusta Tu Corbata		系好你的领带		引き分け&引き分け		Égalité, Équité
TROPHIES_DESCRIPTION_33	You obtained a Tie in a minigame.\nWelp guess no one wins anything.	Obtuviste un Empate en un minijuego.\nBueno, supongo que nadie gana nada entonces.		你在小游戏中平局。\n看起来没有人拿到任何东西。		ミニゲームで引き分けになった。\n時間が無駄になっちゃった。		Vous avez eu une égalité pendant un mini-jeu. Eh bien, je suppose que personne ne gagne quoi que ce soit.
TROPHIES_HINT_33	Seriously? No one wins?	¿Enserio? ¿Nadie gana?		没有人赢？你认真的？		やっぱり全員平和が一番だよね。		Sérieusement ? Personne ne gagne ?
TROPHIES_NAME_34	Broken Elevator	Ascensor averiado.		坏掉的电梯		壊れたエレベーター		Ascenseur Cassé
TROPHIES_DESCRIPTION_34	You died on the very first row of spikes in Tower Ascension.\nHaving the high ground wasn't appealing.	Moriste en la primera fila de pinchos en Ascender por la Torre.\nEstar en terreno elevado no resultó atractivo.		你在攀爬高塔中死于第一排刺。\n到达高层并没有吸引力。		上昇タワー  の最初の針の列で死亡した。\nみんなはより高いところを目指しているのに…		Vous êtes mort sur la toute première pique de Tour Ascension. Les cieux n'étaient pas attrayant ?
TROPHIES_HINT_34	I have the lower ground!	¡Estoy en un terreno inferior!		我在低层！		自分は下に残る！		Je reste au rez-de-chaussée !
TROPHIES_NAME_35	Flexing Ghosts	Presumiendo a Fantasmas		能屈能伸的幽灵		柔軟なゴースト		Fantôme Frimeur
TROPHIES_DESCRIPTION_35	You went back after almost reaching the light in Haunted Forest.\nNow that's just showing off.	Regresaste después de casi llegar a la luz en el Bosque Encantado.\nAhora eso es solo presumir.		你在恐怖之森中即将到达出口的曙光时返回。\n现在是展现技术的时间。		ゆうれいフォレスト でゴールに届きそうになってから戻った。\nそれただ自慢したいだけでしょ。		Vous avez fait demi-tour après avoir presque atteint la lumière dans Forêt Hantée. C'est juste de la frime à ce point.
TROPHIES_HINT_35	Spooky stuff ain't that scary for you.	Las cosas espeluznantes no te asustan tanto.		阴森的东西对你来说并不恐怖。		不気味な幽霊は、あなたにとってはそこまで怖くないと思う。		Les spectres ne sont pas si effrayants pour vous.
TROPHIES_NAME_36	Memory Magician	Mago de la memoria.		记忆魔法师		記憶の魔術師		Mémoire de Magicien
TROPHIES_DESCRIPTION_36	You scored a perfect 10 in Magic Memory.\nCan I borrow that memory of yours for a second?	Obtuviste una puntuación perfecta de 10 en Memoria Mágica.\n¿Puedo tomar prestada tu memoria por un segundo?		你在魔法记忆中拿到满分10分。\n我能借你的记忆力一小会儿吗？		魔法の記憶 で一個も置き間違えをしなかった。\nその記憶力、自分にもくれない?		Vous avez obtenu le score parfait de 10 dans Mémoire Magique. Je peux t'emprunter ta mémoire un instant ?
TROPHIES_HINT_36	How can you keep so many items in your head?	¿Cómo puedes mantener tantos objetos en tu cabeza?		你是如何将如此多的道具装在脑子里的？		どうしてそんなにたくさんのことを覚えられるの?		Comment peux-tu garder autant d'objets en tête ?
TROPHIES_NAME_37	Messed Memory	Memoria confusa.		混乱的记忆		混乱した記憶		Mauvaise Mémoire
TROPHIES_DESCRIPTION_37	You got all items wrong in Magic Memory...\nI bet you forget your house keys every time you go out, huh?	Obtuviste todos los objetos incorrectos en Memoria Mágica...\nApuesto a que olvidas tus llaves de casa cada vez que sales, ¿eh?		你在魔法记忆中把所有道具都放错了……\n我赌你每次出门都忘记带房子钥匙，是吧？		魔法の記憶 で置く場所を全て間違えた…\n外出した後家の鍵を掛けたか忘れるタイプだったりする？		Vous n'avez placé correctement aucun objet dans Mémoire Magique... Je parie que vous oubliez tout le temps vos clé, hein ?
TROPHIES_HINT_37	You can't have that bad of a memory...	No puedes tener una memoria tan mala...		你不能记忆力如此之差吧……		そんなに記憶力が悪いわけないよね…		Tu ne peux pas avoir une mémoire aussi mauvaise...
TROPHIES_NAME_38	Expert Escapist	Escapista experto.		逃脱达人		熟練の逃走者		Expert en Fuite
TROPHIES_DESCRIPTION_38	You chose only the correct doors in Mansion Escape.\nHoudini would be proud of you.	Elegiste solo las puertas correctas en Escape de la Mansión.\nHoudini estaría orgulloso de ti.		你在逃离公馆中只选择正确的门逃脱。\n胡迪尼会为你自豪的。		マンション脱出 で正しいドアだけを選んだ。\nHoudiniはあなたを誇りに思っていると思う。		Vous n'avez choisi que les bonnes portes dans Échappe Manoir. Houdini serait fier de toi.
TROPHIES_HINT_38	Escaping? Piece of cake.	¿Escapar? Será pan comido.		逃离？小菜一碟。		逃走？朝飯前さ。		S'échapper ? C'est du gateau.
TROPHIES_NAME_93	Lonely Platform	Plataforma Solitaria				孤独なリフト		
TROPHIES_DESCRIPTION_93	You left only 1 white platform in Painting Platforms.\nMaybe it's the way it dresses?	Dejaste sólo 1 plataforma blanca en Pintando Plataformas.\n¿Tal vez así es como se viste?				ペイントリフト で白いプラットフォームが1つだけ残っちゃった。\nおそらく、その見た目が原因かな?		
TROPHIES_HINT_93	Poor platform, so lonely...	Pobre plataforma, está tan sola...				かわいそうなリフトが。とても寂しそう...		
TROPHIES_NAME_39	Lonely Spikes	Espinas Solitarias		孤独的刺		孤独な針		Piques Solitaires
TROPHIES_DESCRIPTION_39	You died to the top spikes in Unstable Blocks.\nWait, why? It's literally not moving.\nYou did it on purpose I swear.	Moriste en los pinchos superiores en Bloques Inestables.\nEspera, ¿por qué? Literalmente no se estaba moviendo.\nLo hiciste a propósito, te lo aseguro.		你在易碎砖块中死于顶部的刺。\n等等，为什么？它可一点都没有动。\n我发誓你是故意的。		ゆらゆらブロック で一番上の針に当たった。\n絶対わざと針に当たったよね。なんで？		Vous êtes mort sur les piques en hauteur dans Blocs Instables ? Attends, pourquoi ? Elles ne bougent même pas. Je suis sûr que vous l'avez fait exprès.
TROPHIES_HINT_39	Those are at the very top, that can't seriously happen.	Esos están en la parte más alta, eso no puede pasar en serio.		它们在最高的地方，这没有道理发生。		てっぺんにあるし、さすがにこんなことが起こることはないよね？		Celles-ci sont tout en haut, ça n'a aucun sens.
TROPHIES_NAME_40	Empty Chests	Cofres Vacios		空的宝箱		空っぽのチェスト		Coffres Vides
TROPHIES_DESCRIPTION_40	You scored 0 points by going for the empty chests in Crazy Chests.\nThose chests were kind of a scam, huh?	Obtuviste 0 puntos al elegir los cofres vacíos en Cofres Locos.\nEsos cofres eran una especie de estafa, ¿verdad?		你在疯狂宝箱中全部选择空的宝箱得到0分。\n这些宝箱都是假的，是吗？		クレイジーチェスト で空の宝箱を開けて0ポイントを獲得した。\nこんなの詐欺じゃん...		Vous avez obtenu 0 point en allant aux coffres vides dans Coffres Fous. Ces coffres sont plutôt une arnaque, hein ?
TROPHIES_HINT_40	Hey wait a minute... these chests are empty!	Oye, espera un momento... ¡estos cofres están vacíos!		嘿，等一下……这些宝箱都是空的！		え？このチェスト、何も入ってない！		Eh, attendez une minute... ces coffres sont vides !
TROPHIES_NAME_41	Slime Hugger	Amante de los slimes.		史莱姆拥抱者		スライムハグ		Câlineur de Slime
TROPHIES_DESCRIPTION_41	You touched the slime in Slime Annoyer.\nIt's cute, I know, but it's deadly!	Tocaste el slime en Molesto al Slime.\nEs lindo, lo sé, ¡pero es mortal!		你在调戏史莱姆中碰到了史莱姆。\n它很可爱，我知道，可爱并致命！		イライラスライム でスライムに直接触れた。\nかわいいのは分かっているけど、めっちゃ危険!		Vous avez touché le slime dans Embêteur de Slime. C'est mignon, je sais, mais c'est mortel !
TROPHIES_HINT_41	I know it's tempting, but it's not huggable.	Sé que es tentador, pero no es abrazable.		我知道它很有吸引力，但它不可拥抱。		魅力的なのはわかるけど、ハグなんてできない。		Je sais que c'est tentant, mais ce n'est pas câlinable.
TROPHIES_NAME_42	Born Astronaut	Nacido Para Ser Astronauta.		天生宇航员		宇宙飛行士誕生		Astronaute Né
TROPHIES_DESCRIPTION_42	You didn't receive a single hit in Rocket Ignition!\nAll those years of astronaut training in the morning finally paid off!	¡No recibiste ni un solo golpe en Ignición de Cohetes!\n¡Todos esos años de entrenamiento de astronauta por la mañana finalmente dieron resultado!		你在火箭发射中无伤！\n这些年早晨的宇航员训练终于得到了回报！		ロケットイグニッション で1発もリンゴに当たらなかった！\n長年の宇宙飛行士訓練の努力がついに報われた～！		Vous ne vous êtes pas fait touché une seule fois dans Fusées Endiablées ! Toutes ces années d'entrainement d'astronaute paient enfin !
TROPHIES_HINT_42	Morning rocket training routine.	Rutina matutina de entrenamiento con cohetes.		早晨例行火箭训练		過酷なロケットトレーニングをしよう。		Routine matinale : entrainement spatial
